CAL_Wip_ID,genotype,Female_Parent,length_2Y,RLN_2Y,length_3Y,RLN_3Y,Over_length_3Y,Over_RLN_3Y
48-12 CK,,,,,,,,
CR,,,,,,,,
CR 10,,,,,,,,
CR 13,,,,,,,,
Durham,,,,,,,,
Hartley,,,,,,,,
Forde,,,,,,,,
Howard,,,,,,,,
Ivanhoe,,,,,,,,
PI159568,,,,,,,,
R. livermore,,,,,,,,
Serr,SERR,,30,5.7,,,,
Solano,,,,,,,,
Sunland,,,,,,,,
Tulare,,,,,,,,
Vina,,,,,,,,
A5-1,,,,,,,,
A5-7,,,,,,,,
A12-1,,,,,96.33,66.6,,
A12-4,A12-4,,44.8,6,83.94,10.3,111,42.1
A12-5,,,,,,,,
A13-1,A13 1,,,,151.13,94.6,,
A13-2,A13 2,,,,135.75,10.4,,67.6
I2-1,I2 1,,,,134.29,11.7,,
I8-1,I8 1,,,,124.5,5,,
I8-6,I8-6,,65,,78.92,2.8,,
I8-8,I8-8,,54.2,10,108,30.3,,
I9-1,I9 1,,,,107,8.5,,
I9-2,I9 2,,,,139.75,58.5,,27.5
I9-6,I9 6,,,,145.25,9,,
I9-8,,,,,,,,
I12-1,,,,,,,,
I12-13,I12-13,,86,7.3,,,,
I13-2,I13 2,,,,116.5,13.6,,
I13-30,I13 30,,,,125.86,10.8,,87.6
I13-31,I13 31,,,,193.6,71.1,101.8,25.4
I13-32,I13 32,,,,152.13,133.2,96,2.6
I13-33,I13 33,,,,162.86,2.5,,
I13-35,I13-35,,44,,,119.2,,
I14-4,I14-4,,37,,,,,
I14-7,I14-7,,52.3,14.3,,,,
I15-1,I15-1,,50.5,,,,,
I15-2,I15 2,,,,76.33,7.6,,
I15-40,I15 40,,,,112.83,6.7,,
I15-41,I15-41,,,,104.11,4.3,130,4.9
I15-43,I15-43,,46.5,,,,,
N7-2,,,,,,,,
23.2,,,,,,,,
29.04,29.04,,83.5,7.8,,,,
29.05,29.05,,86.7,1.8,,,,
29.06,,,,,,,,
29.09,,,,,94.04,4.6,,
29.11,29.11,,22.5,0,,9.2,108.96,33.5
31.01,31.01,,110.7,34.9,94.58,272.8,132.5,31.4
31.03,31.03,,85.3,1.1,,,,
31.04,31.04,,89.4,7.6,,,,
31.05,,,,,,,,
31.09,31.09,,107.8,0.025,132.5,15.8,103.38,140.6
31.1,,,,,,,,
52.01,52.01,,79.4,20.2,,,,
52.02,,,,,,,,
52.03,52.03,,60.5,10.1,76.88,25.1,,
53.02,,,,,,,,
53.03,,,,,,,,
LA530.01,,,,,,,,
LA530.02,,,,,,,,
LA549.03,,,,,,,,
LA627.03,,,,,,,,
LA628.03,,,,,,,,
LA628.23,,,,,,,,
LA629.01,,,,,,,,
LA629.02,,,,,,,,
LA634.02,,,,,,,,
84-121,,,,,,,,
AX1,AX 1,23.2,,187.2,168.8,62.4,135.42,152.9
Burbank,,,,,,,,
CB 93,,,,,,,,
Grizzly,,,,,,,,
Px1,,,,,,,,
Rawlins,,,,,,,,
RX1,RX1,,94.1,71.4,121.92,87.7,77.1,10.5
UZ229,UZ229,,82,81.7,,181.3,87.58,303.2
Vlach,Vlach,,170.57,112.2,100.73,155.2,102.6,21.3
VX211,VX211,,133.3,87.4,87.5,17.5,,
VX211-2,,,,,,,,
VX211-3,,,,,,,,52.9
VX211-A,,,,,,,,
