CAL_Wip_ID,CG_Avg
48-12 CK,
CR,
CR 10,
CR 13,
Durham,
Hartley,
Forde,
Howard,
Ivanhoe,
PI159568,
R. livermore,
Serr,
Solano,
Sunland,
Tulare,
Vina,
A5-1,
A5-7,
A12-1,
A12-4,
A12-5,
A13-1,3.3
A13-2,
I2-1,
I8-1,2.4
I8-6,
I8-8,
I9-1,
I9-2,2.3
I9-6,
I9-8,
I12-1,2.9
I12-13,
I13-2,
I13-30,3.3
I13-31,3.2
I13-32,2
I13-33,2.9
I13-35,2.9
I14-4,
I14-7,
I15-1,2.65
I15-2,1.4
I15-40,2.4
I15-41,3.5
I15-43,1.3
N7-2,
23.2,
29.04,
29.05,
29.06,
29.09,
29.11,
31.01,
31.03,
31.04,
31.05,
31.09,
31.1,
52.01,
52.02,
52.03,
53.02,
53.03,
LA530.01,
LA530.02,
LA549.03,
LA627.03,
LA628.03,
LA628.23,
LA629.01,
LA629.02,
LA634.02,
84-121,
AX1,3.16666666666667
Burbank,
CB 93,
Grizzly,
Px1,
Rawlins,
RX1,2.64
UZ229,3.7
Vlach,3.375
VX211,2.925
VX211-2,
VX211-3,
VX211-A,
W17,
WIP3,
DJUG 1.09,
WNxW 10.05,3.025
7-1,
7-2,
7-3,
7-4,
7-7,
7-9,
7-10,2.9
7-11,
7-12,4
7-13,
7-14,3.4
11-987,1
11-991,1.15666666666667
13C-6,
29JM 1,2.9
29JM 2,
29JM 3,3.5
29JM 4,3.1
29JM 5,3
29JM 7,
29JM 8,2.75
29JM 9,
29JM 10,3.2
29JM 11,2.8
29JM 12,2.9
29JM 17,2.6
29JM 22,3
3S 2,
3S 3,
3S 5,2.6
3S 8,
3S 9,
3S 10,
3S 12,
3S 13,
3S 14,
3S 16,
3S 17,3.4
3S 18,3.9
3S 19,
3S 20,
3SH 2,4
3SH 3,
3SH 4,
3SH 5,
3SH 6,
3SH 7,3.9
3SH 8,
3SH 19,
AC 1,2.5
AC 2,1.4
AC 3,1.9
AC 5,1
AC 6,
AC 7,2.15
AC 8,
AC 11,
AC 12,
AC 13,
AC 15,2.2
AC 16,1.3
AC 18,2.9
AC 19,
AC 20,2.6
AC 22,2.4
AC 23,2.6
AC 24,3.2
AC 25,
AC 26,
AC 27,2.85
AC 29,3
AC 30,1.55
AC 32,1.4
AC 34,
AC 35,2.8
AC 37,
AC 38,
AC 43,
AC 45,
AC 48,
AC 49,1.7
AC 52,2.6
AC 53,3.3
AC 54,1.4
AC 55,
AC 56,1.9
AC 57,3
AC 61,
AC 63,
AC 64,
AC 65,
AC 67,
AC 68,1.85
AC 72,
AC 73,1.1
AC 74,
AC 75,
AC 76,2.4
AC 79,1.53333333333333
AC 80,
AC 81,
AC 82,1.8
AC 83,2.5
AC 84,
AC 87,
AC 98,
AC 103,2.5
AC 109,
AC 111,1.4
AC 112,2.3
AC 113,2.5
AC 116,2.6
AC 119,
AC 120,3.2
AC 121,2.95
AC 122,
AC 123,
AC 125,
AC 126,2.4
AC 128,
AC 129,2.6
AC 130,2.4
AC 133,1.5
AC 134,2.6
AC 135,1.85
AC 138,
AC 139,
AC 141,3
AC 142,
AC 145,3.6
AC 146,
AC 148,2.4
AC 151,
AC 153,2.85
AC 154,
AC 155,2.25
AC 157,3.5
AC 160,1.55
AC 163,3
AC 164,3.5
AC 166,1.435
AC 168,
AC 175,3.3
