CAL_Wip_ID,PHY_Avg
48-12 CK,
CR,
CR 10,
CR 13,
Durham,
Hartley,
Forde,
Howard,
Ivanhoe,
PI159568,
R. livermore,
Serr,64.105
Solano,
Sunland,
Tulare,
Vina,
A5-1,
A5-7,
A12-1,53.581
A12-4,
A12-5,
A13-1,41.07
A13-2,
I2-1,
I8-1,35.66275
I8-6,65.25
I8-8,57.8645
I9-1,28.53
I9-2,29.95825
I9-6,36.4635
I9-8,46.6105
I12-1,
I12-13,
I13-2,35.336
I13-30,29.8035
I13-31,63.6365
I13-32,35.43
I13-33,75.8335
I13-35,51.8425
I14-4,
I14-7,
I15-1,40.248
I15-2,39.7175
I15-40,79.358
I15-41,44.6865
I15-43,75.15
N7-2,
23.2,
29.04,13.0215
29.05,56.316
29.06,
29.09,
29.11,35.624
31.01,17.77
31.03,
31.04,
31.05,
31.09,
31.1,
52.01,
52.02,47.393
52.03,
53.02,11.0895
53.03,
LA530.01,
LA530.02,
LA549.03,
LA627.03,
LA628.03,
LA628.23,
LA629.01,
LA629.02,
LA634.02,
84-121,
AX1,76.0606
Burbank,
CB 93,
Grizzly,35
Px1,53.69125
Rawlins,
RX1,41.592275
UZ229,29.863
Vlach,62.346
VX211,57.27275
VX211-2,
VX211-3,
VX211-A,
W17,58.74775
WIP3,94
DJUG 1.09,
WNxW 10.05,12.40255
7-1,
7-2,
7-3,
7-4,
7-7,
7-9,46.80225
7-10,
7-11,
7-12,
7-13,
7-14,
11-987,
11-991,15.45
13C-6,
29JM 1,33.54625
29JM 2,38.7495
29JM 3,32.77725
29JM 4,34.92375
29JM 5,31.042
29JM 7,
29JM 8,43.635
29JM 9,
29JM 10,25.46525
29JM 11,32.7045
29JM 12,56.4998
29JM 17,32.433
29JM 22,55.4815
3S 2,
3S 3,
3S 5,38.111
3S 8,
3S 9,
3S 10,
3S 12,
3S 13,
3S 14,30.64475
3S 16,37.639
3S 17,
3S 18,
3S 19,
3S 20,
3SH 2,17.61325
3SH 3,
3SH 4,
3SH 5,
3SH 6,
3SH 7,
3SH 8,
3SH 19,
AC 1,48.5
AC 2,67.8
AC 3,13.7
AC 5,54.1
AC 6,56.55
AC 7,71.05
AC 8,
AC 11,
AC 12,13.25
AC 13,25
AC 15,59.75
AC 16,65.2
AC 18,
AC 19,24.25
AC 20,54.9
AC 22,74.95
AC 23,71.2
AC 24,43.7
AC 25,
AC 26,
AC 27,68.15
AC 29,65.35
AC 30,52.55
AC 32,
AC 34,
AC 35,71.7
AC 37,
AC 38,
AC 43,
AC 45,
AC 48,
AC 49,78.75
AC 52,84.3
AC 53,73.45
AC 54,8.5
AC 55,
AC 56,12.85
AC 57,67.3
AC 61,14.25
AC 63,8.55
AC 64,
AC 65,16.6
AC 67,
AC 68,76.55
AC 72,6.05
AC 73,25.25
AC 74,
AC 75,
AC 76,77.05
AC 79,66.7
AC 80,24.8
AC 81,21.2
AC 82,19.7
AC 83,66
AC 84,
AC 87,
AC 98,
AC 103,82.85
AC 109,13.5
AC 111,20.7
AC 112,66.55
AC 113,27.15
AC 116,
AC 119,
AC 120,61
AC 121,13.45
AC 122,17
AC 123,
AC 125,30.15
AC 126,
AC 128,
AC 129,41.375
AC 130,10.8
AC 133,26.1
AC 134,61.7
AC 135,38.75
AC 138,
AC 139,
AC 141,58.75
AC 142,9.3
AC 145,49.5
