CAL_Wip_ID,genotype,Female_Parent,CG_Avg,PHY_Avg,3Y_length,3Y_RLN
AC 1,AC 1,31.01,2.5,48.5,112.4,7.6
AC 2,AC2,31.01,1.4,67.8,103.67,14.7
AC 3,AC 3,31.01,1.9,13.7,47.8,65.8
AC 5,AC 5,31.01,1,54.1,77.7,8.9
AC 7,AC 7,31.01,2.15,71.05,171,112.5
AC 16,AC16,31.01,1.3,65.2,106.38,674.1
AC 20,AC 20,31.01,2.6,54.9,178.5,59.1
AC 22,AC22,31.01,2.4,74.95,99.46,271.5
AC 23,AC23,31.01,2.6,71.2,128.04,66.1
AC 24,AC24,31.01,3.2,43.7,53.98,427.4
AC 27,AC27,31.01,2.85,68.15,111.79,520.6
AC 29,AC29,31.01,3,65.35,129.33,871.9
AC 30,AC30,31.01,1.55,52.55,133.71,279
AC 35,AC35,31.01,2.8,71.7,111.98,96
AC 49,AC49,31.01,1.7,78.75,102.08,114.2
AC 52,AC52,31.01,2.6,84.3,131.5,117
AC 53,AC 53,31.01,3.3,73.45,161.6,43.5
AC 54,AC54,31.01,1.4,8.5,47.88,91.2
AC 57,AC57,31.01,3,67.3,113.63,379.2
AC 68,AC 68,31.01,1.85,76.55,134.7,20
AC 73,AC 73,31.01,1.1,25.25,77.3,42.5
AC 76,AC76,31.01,2.4,77.05,110.13,265.3
AC 79,AC79,31.01,1.53333333333333,66.7,134.17,98
AC 82,AC 82,31.01,1.8,19.7,150,138.5
AC 83,AC83,31.01,2.5,66,101.25,244.1
AC 103,AC103,31.01,2.5,82.85,131,254.2
AC 112,AC112,31.01,2.3,66.55,116,184.9
AC 120,AC120,31.01,3.2,61,30.13,149.7
AC 134,AC 134,31.01,2.6,61.7,167.5,39
AC 135,AC 135,31.01,1.85,38.75,168.7,79
AC 141,AC 141,31.01,3,58.75,156.3,135.3
AC 145,AC 145,31.01,3.6,49.5,167.8,29.6
AC 148,AC148,31.01,2.4,73.15,107.42,116
