CAL_Wip_ID,genotype,Female_Parent,CG_Avg,PHY_Avg,2Y_length,2Y_RLN,3Y_length,3Y_RLN,Over_3Y_length,Over_3Y_RLN
11-987,11-987,31.09,1,,63.6,11.75,90.2,21.1,,
11-991,,31.09,1.15666666666667,15.45,,,,,,
AC 1,AC 1,31.01,2.5,48.5,83.6,11.6375,112.4,7.6,,
AC 2,AC2,31.01,1.4,67.8,,5.41,103.67,14.7,,
AC 3,AC 3,31.01,1.9,13.7,45.4,11.7875,47.8,65.8,,
AC 5,AC 5,31.01,1,54.1,57.5,1.65,77.7,8.9,,
AC 6,AC 6,31.01,,56.55,26,0.05,28,7.5,,
AC 7,AC 7,31.01,2.15,71.05,137.1,15.1,171,112.5,,
AC 8,,31.01,,,,,,,,
AC 11,,31.01,,,,,,,,
AC 12,AC 12,31.01,,13.25,49.4,0.133333333,72.3,27.7,,
AC 13,AC13,31.01,,25,,142.6,37.08,122.8,,
AC 15,,31.01,2.2,59.75,,,,,,
AC 16,AC16,31.01,1.3,65.2,,221.24,106.38,674.1,,
AC 18,AC 18,31.01,2.9,,131.8,0,166,8.8,,
AC 19,AC 19,31.01,,24.25,127.3,4.475,173.2,67.4,,
AC 20,AC 20,31.01,2.6,54.9,123.2,10.0125,178.5,59.1,,
AC 22,AC22,31.01,2.4,74.95,,48.49,99.46,271.5,,
AC 23,AC23,31.01,2.6,71.2,,38.07,128.04,66.1,,
AC 24,AC24,31.01,3.2,43.7,,42.97,53.98,427.4,,
AC 25,,31.01,,,,,,,,
AC 26,,31.01,,,,,,,,
AC 27,AC27,31.01,2.85,68.15,,32.65,111.79,520.6,,
AC 29,AC29,31.01,3,65.35,,30.86,129.33,871.9,,
AC 30,AC30,31.01,1.55,52.55,,20.33,133.71,279,,
AC 32,AC 32,31.01,1.4,,53.5,20.7375,70.8,41.4,,
AC 34,,31.01,,,,,,,,
AC 35,AC35,31.01,2.8,71.7,,146.52,111.98,96,,
AC 37,,31.01,,,,,,,,
AC 38,,31.01,,,,,,,,
AC 43,,31.01,,,,,,,,
AC 45,AC 45,31.01,,,43.8,10.85,72.7,75,,
AC 48,,31.01,,,,,,,,
AC 49,AC49,31.01,1.7,78.75,,15.53,102.08,114.2,,
AC 52,AC52,31.01,2.6,84.3,,68.76,131.5,117,,
AC 53,AC 53,31.01,3.3,73.45,112,2.816,161.6,43.5,,
AC 54,AC54,31.01,1.4,8.5,,56.56,47.88,91.2,,
AC 55,AC 55,31.01,,,20,5.0625,,,,
AC 56,AC 56,31.01,1.9,12.85,30.3,0.7,18.7,,,
AC 57,AC57,31.01,3,67.3,,63.89,113.63,379.2,,
AC 61,AC 61,31.01,,14.25,66.7,0.075,102.4,4.9,,
AC 63,AC63,31.01,,8.55,,155.95,48.13,61.5,,
AC 64,,31.01,,,,,,,,
AC 65,AC 65,31.01,,16.6,30,1.1,29.5,,,
AC 67,,31.01,,,,,,,,
AC 68,AC 68,31.01,1.85,76.55,98.7,1.9375,134.7,20,,
AC 72,AC 72,31.01,,6.05,35.3,0,40.8,35,,
AC 73,AC 73,31.01,1.1,25.25,52.5,7.55,77.3,42.5,,
AC 74,,31.01,,,,,,,,
AC 75,AC 75,31.01,,,32.7,0.066666667,46.5,10.2,,
AC 76,AC76,31.01,2.4,77.05,,27.45,110.13,265.3,,
AC 79,AC79,31.01,1.53333333333333,66.7,,76.25,134.17,98,,
AC 80,AC 80,31.01,,24.8,128.8,8.0375,168,19.9,,
AC 81,AC 81,31.01,,21.2,124.2,26.175,160.7,196,,
AC 82,AC 82,31.01,1.8,19.7,103.3,0.8625,150,138.5,,
AC 83,AC83,31.01,2.5,66,,35.38,101.25,244.1,,
AC 84,AC 84,31.01,,,44.1,0,70.4,51.3,,
AC 87,,31.01,,,,,,,,
AC 98,AC 98,31.01,,,140.9,3.5125,200.7,351.9,,
AC 103,AC103,31.01,2.5,82.85,,13.96,131,254.2,,
AC 109,AC109,31.01,,13.5,,92.82,86.13,182.9,,
AC 111,AC 111,31.01,1.4,20.7,62.4,14.7125,,,,
AC 112,AC112,31.01,2.3,66.55,,83.75,116,184.9,,
AC 113,AC 113,31.01,2.5,27.15,144.2,2.1125,,,,
AC 116,AC 116,31.01,2.6,,73.9,3.55,,,,
AC 119,AC 119,31.01,,,43.4,27.95,,,,
AC 120,AC120,31.01,3.2,61,,320.82,30.13,149.7,,
AC 121,AC 121,31.01,2.95,13.45,129.5,3.8375,,,,
AC 122,,31.01,,17,,,,,,
AC 123,AC123,31.01,,,,55,60.75,231.1,,
AC 125,AC 125,31.01,,30.15,32,0,,,,
AC 126,,31.01,2.4,,,,,,,
AC 128,,31.01,,,,,,,,
AC 129,AC 129,31.01,2.6,41.375,137.7,0.25,,,,
AC 130,AC 130,31.01,2.4,10.8,121.6,7.3875,,,,
AC 133,AC 133,31.01,1.5,26.1,81.1,0,,,,
AC 134,AC 134,31.01,2.6,61.7,126.4,36.825,167.5,39,,
AC 135,AC 135,31.01,1.85,38.75,124,0.0125,168.7,79,,
AC 138,,31.01,,,,,,,,
