Var1,Var2,Cor,P.val,FDR
Female_Parent,CG_Avg,-0.075972196083967,0.116985704720281,0.211688418065271
Female_Parent,PHY_Avg,-0.30061710668101,3.3904526556965e-12,2.57674401832934e-11
CG_Avg,PHY_Avg,0.247731872702407,1.60117711482958e-06,7.42312238478349e-06
Female_Parent,2Y-length,-0.224898154673238,0.000115156741889425,0.000397814199254378
CG_Avg,2Y-length,0.300144226036105,1.05961507445076e-05,4.02653728291288e-05
PHY_Avg,2Y-length,0.317830845709189,1.75810793323819e-06,7.42312238478349e-06
Female_Parent,2Y-RLN,0.125493799032203,0.00590240213767992,0.0140182050769898
CG_Avg,2Y-RLN,0.0276961167080021,0.600948690395239,0.787450008104106
PHY_Avg,2Y-RLN,0.183996581787249,0.000240638978985533,0.000762023433454188
2Y-length,2Y-RLN,0.308081438171661,1.29495596698537e-07,7.02976096363488e-07
Female_Parent,3Y-length,-0.128381125927892,0.00768838327480116,0.0167416116796503
CG_Avg,3Y-length,0.331891709976027,1.74682589850175e-09,1.10632306905111e-08
PHY_Avg,3Y-length,0.177956829246832,0.000884863276412449,0.0022416536335782
2Y-length,3Y-length,0.935049547521062,4.77847801285895e-101,6.05273881628801e-100
2Y-RLN,3Y-length,-0.0153468704566323,0.754397407189893,0.858266365178424
Female_Parent,3Y-RLN,0.173998366818631,0.000274770603422789,0.000803175610005074
CG_Avg,3Y-RLN,0.148180094945723,0.00793023711141328,0.0167416116796503
PHY_Avg,3Y-RLN,0.12747436736789,0.0168727835018584,0.0337455670037167
2Y-length,3Y-RLN,0.228053447191192,0.000519589155298047,0.00141031342152327
2Y-RLN,3Y-RLN,0.390342663925739,6.98027058200747e-17,6.6312570529071e-16
3Y-length,3Y-RLN,0.0274361202290042,0.574085787274809,0.779116425587241
Female_Parent,>3Y-length,-0.0679529588583501,0.72615370078925,0.858266365178424
CG_Avg,>3Y-length,0.19876843517039,0.330336092452382,0.50211086052762
PHY_Avg,>3Y-length,0.0810071154898741,0.680994030892887,0.858266365178424
2Y-length,>3Y-length,0.433333333333333,0.249917328042328,0.412906889809064
2Y-RLN,>3Y-length,-0.0206896551724138,0.915602691330906,0.940348710015525
3Y-length,>3Y-length,0.181318681318681,0.363776695104157,0.531673631306075
3Y-RLN,>3Y-length,0.0571428571428571,0.767922537264906,0.858266365178424
>3Y-length,>3Y-length,1,0,0
Female_Parent,>3Y-RLN,-0.0368221525862939,0.826277115669354,0.897100868441013
CG_Avg,>3Y-RLN,-0.0222860813296043,0.898882188991939,0.940348710015525
PHY_Avg,>3Y-RLN,0.247899159663866,0.150697481193245,0.260295649333787
2Y-length,>3Y-RLN,0.0178571428571429,0.954008355053701,0.954008355053701
2Y-RLN,>3Y-RLN,-0.0563706563706564,0.743297983858537,0.858266365178424
3Y-length,>3Y-RLN,0.367310167310167,0.0281894841710579,0.05356001992501
3Y-RLN,>3Y-RLN,-0.113688587372798,0.495341294297684,0.697147006789333
>3Y-length,>3Y-RLN,0.205418719211823,0.283762388279925,0.449290448109881
>3Y-RLN,>3Y-RLN,1,0,0
